"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Wizard rock--History and criticism","general term","019365085","Monograph","Language material ; Text","Volume","GBB9D8113","9781476673035","","Thomas, Paul A.","1992-","person","author","Thomas, Paul A., 1992-, author [person]","I wanna wrock! : the world of Harry Potter-inspired 'wizard rock' and its fandom","","","","United States of America","Jefferson, North Carolina","McFarland","2019","","x, 248 pages, illustrations, 23 cm","781.66","YC.2019.a.6887","","English",""
"Wizards in literature","general term","006916294","Monograph","Language material ; Text","Volume","GBA1W0654","9780312282547","","","","","","Moore, Sharon, 1969- [person]","Harry Potter, you're the best! : a tribute from fans the world over","","","","England ; United States of America","Maidenhead ; New York","Melia ; St Martin's","2001","1st edition","xiii, 156 pages, illustrations, 21 cm","823.914","","","English",""
"Wizards in literature","general term","007464406","Monograph","Language material ; Text","Volume","GBA380570","9781859846667","","Blake, Andrew","1955-","person","","Blake, Andrew, 1955- [person]","The irresistible rise of Harry Potter","","","","England ; United States of America","London ; New York","Verso","2002","","118 pages, 20 cm","823.914","YC.2003.a.19093 ; m02/41814","","English",""
"Wizards in literature","general term","008025509","Monograph","Language material ; Text","Volume","","9782130522058","","Smadja, Isabelle","","person","","Smadja, Isabelle [person]","Harry Potter : les raisons d'un succès","","Sociologie d'aujourd'hui","","France","Paris","Presses Universitaires de France","2001","1st édition","134 pages, 22 cm","","YA.2002.a.36175","","French",""
"Wizards in literature","general term","008100627","Monograph","Language material ; Text","Volume","GBA311445","9780826214430","","","","","","Whited, Lana A., 1958- [person]","The ivory tower and Harry Potter : perspectives on a literary phenomenon","","","","England","Columbia ; London","University of Missouri Press","2002","","x, 408 pages, 25 cm","823.914","YC.2003.a.1856 ; m03/13651","","English",""
"Wizards in literature","general term","008101227","Monograph","Language material ; Text","Volume","GBA346780","9780826452320","","Nel, Philip","1969-","person","","Nel, Philip, 1969- [person]","J.K. Rowling's Harry Potter novels : a reader's guide","","Continuum contemporaries","","England ; United States of America","London ; New York","Continuum","2002","","96 pages, 20 cm","823.914","YA.2003.a.25107","","English",""
"Wizards in literature","general term","009404978","Monograph","Language material ; Text","Volume","GBA419461","9780313320675","","","","","","Anatol, Giselle Liza, 1970- [person]","Reading Harry Potter : critical essays","","Contributions to the study of popular culture","number 78 [Contributions to the study of popular culture]","England","London ; Westport, Connecticut","Praeger","2003","","xxv, 217 pages, 25 cm","823.914","3461.454200 ; YC.2004.a.3539","","English",""
"Wizards in literature","general term","010769705","Monograph","Language material ; Text","Volume","GBA370847","9781841811789","","Matthews, John","1948-","person","","Matthews, John, 1948- [person]","Wizards : the quest for the wizard from Merlin to Harry Potter","","","","England","Alresford","Godsfield","2003","","144 pages, illustrations (chiefly colour), facsimiles, portraits, 23 cm","133.430922","YK.2004.a.359","","English","bibliography: p. 140-141. - Includes index"
"Wizards in literature","general term","012459662","Monograph","Language material ; Text","Volume","","9783860726570","","","","","","Knobloch, Jörg [person]","'Harry Potter' in der Schule : didaktische Annäherungen an ein Phänomen","","","","Germany","Mühlheim an der Ruhr","Ruhr","2001","","229 pages, illustrations, 23 cm","","YA.2003.a.27508","","German",""
"Wizards in literature","general term","012617612","Monograph","Language material ; Text","Volume","GBA2V3474","9780415933735 ; 9780415933742","","","","","","Heilman, Elizabeth E. [person]","Harry Potter's world : multidisciplinary critical perspectives","","","","England ; United States of America","London ; New York","RoutledgeFalmer","2003","","ix, 308 pages, 24 cm","823.914","YC.2003.a.97 ; m03/11420","","English",""
"Wizards in literature","general term","012940672","Monograph","Language material ; Text","Volume","","9783833300370","","Maar, Michael","","person","","Maar, Michael [person]","Warum Nabokov Harry Potter gemocht hätte","","","","Germany","Berlin","Berliner Taschenbuch","2003","","199 pages, 19 cm","","YF.2004.a.17816","","German",""
"Wizards in literature","general term","012967686","Monograph","Language material ; Text","Volume","GBA457896","9780826215499","","","","","","Whited, Lana A., 1958- [person]","The ivory tower and Harry Potter : perspectives on a literary phenomenon","","","","England ; United States of America","Columbia, Missouri ; London","University of Missouri Press","2004","","x, 418 pages, 1 portrait, 24 cm","823.914","YC.2006.a.5091","","English",""
"Wizards in literature","general term","013028967","Monograph","Language material ; Text","Volume","GBA478917","9781841812649","","Matthews, John","1948-","person","","Matthews, John, 1948- [person]","Wizards : the quest for the wizard from Merlin to Gandalf and Harry Potter","","","","England","Alresford","Godsfield","2005","","144 pages, illustrations (some colour), portraits, 23 cm","133.4309","YK.2006.a.16656","","English","Originally published: 2003"
"Wizards in literature","general term","013047892","Monograph","Language material ; Text","Volume","GBA508267","9783631525692","","Bak, Sandra","1978-","person","","Bak, Sandra, 1978- [person]","Harry Potter : auf den Spuren eines zauberhaften Bestsellers","","Europäische Hochschulschriften. Reihe I, Deutsche Sprache und Literatur Publications universitaires européennes. Série I, Langue et littérature allemandes European university studies. Series I, German language and literature","Band 1889 = volume 1889 = [Europäische Hochschulschriften. Reihe I, Deutsche Sprache und Literatur Publications universitaires européennes. Série I, Langue et littérature allemandes European university studies. Series I, German language and literature]","Germany","Frankfurt am Main ; Oxford","Lang","2004","","216 pages, 22 cm","823.914","YF.2005.a.3897","","German",""
"Wizards in literature","general term","013332983","Monograph","Language material ; Text","Volume","GBA595491","9781932100594","","","","","","Lackey, Mercedes [person]","Mapping the world of Harry Potter","","","","United States of America","Dallas, Texas ; Lancaster","Benbella ; Gazelle Drake Academic","2006","","232 pages, 23 cm","823.914","","","English",""
"Wizards in literature","general term","013378571","Monograph","Language material ; Text","Volume","GBA638160","9780773460102 ; 9780889469273","","","","","","Hallett, Cynthia Whitney [person]","Scholarly studies in Harry Potter : applying academic methods to a popular text","","Studies in British literature","volume 99 [Studies in British literature]","United States of America","Lampeter ; Lewiston, New York","Edwin Mellen","2005","","xi, 275 pages, 24 cm","823.914","YC.2007.a.4045 ; m06/.18360","","English",""
"Wizards in literature","general term","014525103","Monograph","Language material ; Text","Volume","GBA820328","9781591026204","","Kern, Edmund M.","1963-","person","","Kern, Edmund M., 1963- [person]","The wisdom of Harry Potter : what our favorite hero teaches us about moral choices","","","","United States of America","Amherst, New York ; Lancaster","Gazelle ; Prometheus","2008","New edition","1 volume, 23 cm","823.914","","","English","Previous edition: 2003"
"Wizards in literature","general term","014580933","Monograph","Language material ; Text","Volume","GBB017957","9781846940934","","Trevarthen, Geo Athena","","person","","Trevarthen, Geo Athena [person]","The seeker's guide to Harry Potter : the unauthorized course","","","","England","Winchester","","2008","","261 pages, illustrations, 22 cm","823.914","YK.2009.a.29919","","English","paperback"
"Wizards in literature","general term","014601440","Monograph","Language material ; Text","Volume","GBA861188","9780415964845","","","","","","","Critical perspectives on Harry Potter","Harry Potter's world","","","England","London","Routledge","2009","2nd edition","ix, 354 pages, 23 cm","823.914","YC.2009.a.6640 ; m09/.12116","","English",""
"Wizards in literature","general term","015116435","Monograph","Language material ; Text","Volume","GBA938932","9780230219571 ; 9780230219588","","Gupta, Suman","1966-","person","","Gupta, Suman, 1966- [person]","Re-reading Harry Potter","","","","England","Basingstoke","Palgrave Macmillan","2009","2nd edition","vii, 278 pages, 23 cm","823.914","YC.2012.a.5499","","English","Previous edition: 2003"
"Wizards in literature","general term","015503223","Monograph","Language material ; Text","Volume","","9781594606458","","","","","","Snyder, Franklin G. [person] ; Thomas, Jeffrey E., 1959- [person]","The law and Harry Potter","Agents of the good, servants of evil : Harry Potter and the law of agency ; Bots and gemots : Anglo-Saxon legal references in Harry Potter ; Economic growth in the Potterian economy ; Gringotts : the role of banks in Harry Potter's wizarding world ; Harry Potter and the curse of difference ; Harry Potter and the development of moral judgment in children ; Harry Potter and the half-crazed bureaucracy ; Harry Potter and the image of God : how house-elves can help us to understand the dignity of the person ; Harry Potter and the unforgivable curses ; Harry Potter as client in a lawsuit : utilizing the archetypal hero's journey as part of case strategy ; Harry Potter goes to law school ; Hogwarts, the family, and the state : forging identity and virtue in Harry Potter ; Moral choice, wizardry, law, and liberty : a classical liberal reading of the role of law in the Harry Potter series ; Professor Dumbledore's wisdom and advice ; Punishment in the Harry Potter novels ; Sirius Black : a case study in actual innocence ; What role need law play in a society with magic? ; When Harry met Martin : imagination, imagery, and the color line ; Which spell : learning to think like a wizard ; Who wants to be a muggle? : the diminished legitimacy of law as magic ; magic of money and banking ; persecution of Tom Riddle : a study in human rights law","","","United States of America","Durham, North Carolina","Carolina Academic Press","2010","","viii, 414 pages, illustrations, 23 cm","823.914","m10/.14707","","English",""
"Wizards in literature","general term","017604907","Monograph","Language material ; Text","Volume","GBB5G0133","9781936367696","","Lutters, Frans","1958-","person","author","Mees, Philip, translator [person] ; Lutters, Frans, 1958-, author [person]","Who is Harry Potter?","Wie is Harry Potter?. English","","","United States of America","Chatham, New York","Waldorf Publications","2015","","71 pages, black and white illustrations, 22 cm","823.914","YKL.2018.a.11725","","English","Translated from the Dutch"
"Wizards in literature","general term","017762393","Monograph","Language material ; Text","Online resource","GBB6H9569","9781137295828","","","","","","Huey, Peggy J., 1951- [person] ; Hallett, Cynthia J., 1947- [person]","J.K. Rowling : Harry Potter","","New casebooks","","England ; United Kingdom","Basingstoke","Palgrave Macmillan","2012","","1 online resource (224 pages)","823.914","ELD.DS.49415","","English",""
